# Region type : patch outflow
#   Faces  : 61
#   Area   : 1.303507e-04
#        Time	sum(rhoPhi)
         0.01	0.000000e+00
        0.012	-4.102891e-13
     0.014375	2.706583e-08
    0.0171154	2.839461e-07
    0.0201049	6.364887e-07
    0.0234266	8.726867e-07
    0.0267483	9.915315e-07
    0.0300699	1.069343e-06
    0.0333916	1.166423e-06
    0.0367133	1.302794e-06
     0.040035	1.471176e-06
    0.0425262	1.669883e-06
    0.0450175	1.845195e-06
    0.0475087	3.280615e-06
         0.05	4.135117e-06
    0.0527778	4.209237e-06
    0.0555556	4.101238e-06
    0.0583333	5.670923e-06
    0.0611111	6.318266e-06
    0.0638889	6.246852e-06
    0.0668981	6.243122e-06
    0.0699074	8.405203e-06
    0.0729167	9.167863e-06
    0.0759259	8.865714e-06
    0.0789352	1.020404e-05
    0.0819444	1.258512e-05
    0.0849537	1.248613e-05
     0.087963	1.279054e-05
    0.0909722	1.448740e-05
    0.0939815	1.466224e-05
    0.0969907	1.535248e-05
          0.1	1.683609e-05
     0.103125	1.832425e-05
      0.10625	1.821336e-05
     0.109375	1.887102e-05
     0.112277	2.053671e-05
     0.114971	2.039085e-05
      0.11789	2.097350e-05
     0.120566	2.235034e-05
     0.123019	2.368140e-05
     0.125472	2.313423e-05
     0.127925	2.387564e-05
     0.130132	2.510816e-05
      0.13234	2.608048e-05
     0.134547	2.536598e-05
     0.136755	2.572923e-05
     0.138962	2.707202e-05
      0.14117	2.679119e-05
     0.143377	2.711010e-05
     0.145585	2.815903e-05
     0.147057	2.901943e-05
     0.148528	2.826385e-05
         0.15	2.846665e-05
     0.151667	2.909629e-05
     0.153526	2.987317e-05
     0.155546	2.929048e-05
     0.157567	2.952904e-05
     0.159588	3.035524e-05
     0.161512	3.113382e-05
     0.163436	3.021436e-05
     0.165361	3.046628e-05
     0.167285	3.125350e-05
     0.169103	3.198603e-05
     0.171034	3.100912e-05
     0.172965	3.114101e-05
     0.174767	3.185535e-05
     0.176569	3.119990e-05
     0.178372	3.129346e-05
     0.180174	3.181079e-05
     0.181977	3.209386e-05
     0.183779	3.244310e-05
     0.185581	3.159773e-05
     0.187384	3.163155e-05
     0.189186	3.195525e-05
     0.190988	3.223815e-05
     0.192791	3.130010e-05
     0.194593	3.126119e-05
     0.196395	3.160557e-05
     0.198198	3.196311e-05
          0.2	3.097109e-05
     0.201923	3.081773e-05
     0.203846	3.111281e-05
     0.205769	3.143127e-05
     0.207692	3.012980e-05
     0.209615	2.998425e-05
     0.211538	3.029094e-05
     0.213462	2.957951e-05
     0.215491	2.856469e-05
     0.217521	2.884265e-05
     0.219551	2.879959e-05
     0.221581	2.814060e-05
     0.223476	2.729528e-05
     0.225244	2.752608e-05
     0.227012	2.734465e-05
     0.228928	2.678375e-05
     0.230684	2.607058e-05
     0.232294	2.542501e-05
     0.233903	2.580197e-05
     0.235367	2.552065e-05
     0.236697	2.502355e-05
     0.237906	2.444718e-05
     0.239116	2.392620e-05
     0.240204	2.432814e-05
     0.241293	2.398280e-05
     0.242381	2.363421e-05
     0.243469	2.328888e-05
     0.244558	2.286940e-05
     0.245646	2.244945e-05
     0.246735	2.203079e-05
     0.247823	2.160927e-05
     0.248549	2.208760e-05
     0.249274	2.204884e-05
         0.25	2.182233e-05
      0.25082	2.137605e-05
      0.25173	2.098801e-05
     0.252641	2.089678e-05
      0.25357	2.050031e-05
      0.25448	2.016345e-05
     0.255356	1.987939e-05
     0.256198	1.989432e-05
     0.257009	1.974380e-05
      0.25782	1.953687e-05
     0.258616	1.929185e-05
     0.259397	1.906487e-05
     0.260149	1.892823e-05
     0.260901	1.882149e-05
     0.261653	1.873539e-05
      0.26242	1.865111e-05
     0.263219	1.854603e-05
     0.264002	1.842347e-05
     0.264768	1.827084e-05
     0.265517	1.810878e-05
     0.266251	1.792052e-05
     0.266969	1.772712e-05
     0.267672	1.752402e-05
     0.268375	1.732311e-05
     0.269093	1.660621e-05
     0.269829	1.637588e-05
     0.270583	1.627596e-05
     0.271358	1.616562e-05
     0.272176	1.602498e-05
     0.273019	1.587860e-05
     0.273918	1.574004e-05
      0.27485	1.559591e-05
     0.275817	1.543279e-05
     0.276651	1.460222e-05
     0.277381	1.430331e-05
     0.278088	1.416699e-05
     0.278794	1.409444e-05
     0.279526	1.401154e-05
     0.280284	1.387625e-05
     0.281106	1.372902e-05
     0.281964	1.356013e-05
     0.282866	1.337276e-05
     0.283682	1.316171e-05
     0.284424	1.297259e-05
     0.285132	1.228967e-05
     0.285778	1.204861e-05
     0.286397	1.184200e-05
     0.286988	1.168120e-05
     0.287579	1.170258e-05
     0.288171	1.170293e-05
     0.288794	1.137891e-05
     0.289416	1.118682e-05
     0.290078	1.101642e-05
     0.290739	1.087272e-05
     0.291451	1.084396e-05
     0.292164	1.077423e-05
     0.292876	1.031994e-05
     0.293589	1.003304e-05
     0.294301	9.778629e-06
     0.295013	9.619906e-06
     0.295726	9.563625e-06
     0.296438	9.264950e-06
      0.29715	8.955013e-06
     0.297863	8.696928e-06
     0.298575	8.459096e-06
     0.299288	8.274251e-06
          0.3	8.104581e-06
     0.300806	7.949943e-06
     0.301701	7.779591e-06
     0.302687	7.582115e-06
     0.303672	7.345120e-06
     0.304679	7.086100e-06
     0.305687	6.804265e-06
     0.306717	6.514659e-06
     0.307748	6.221642e-06
     0.308778	5.941049e-06
     0.309809	5.680611e-06
     0.310839	5.442569e-06
      0.31187	5.226260e-06
     0.312929	5.027611e-06
     0.313988	4.835369e-06
     0.315047	4.649894e-06
      0.31614	4.467400e-06
     0.317232	4.280352e-06
     0.318362	4.094233e-06
     0.319492	3.904127e-06
     0.320665	3.718170e-06
     0.321839	3.531368e-06
     0.323063	3.351952e-06
     0.324287	3.172842e-06
     0.325573	3.001692e-06
      0.32693	2.828736e-06
     0.328287	2.648970e-06
     0.329644	2.472807e-06
     0.331098	2.303670e-06
     0.332552	2.123397e-06
     0.334006	1.953345e-06
      0.33546	1.778427e-06
     0.336914	1.601660e-06
     0.338368	1.427180e-06
     0.339661	1.257982e-06
     0.340953	1.102719e-06
     0.342245	9.517331e-07
     0.343538	8.063238e-07
      0.34483	6.722021e-07
     0.346123	5.427796e-07
     0.347415	4.230629e-07
     0.348708	3.170939e-07
         0.35	2.179661e-07
     0.351429	1.293688e-07
     0.352995	3.992003e-08
     0.354616	-5.170518e-08
     0.356237	-1.379890e-07
     0.357858	-2.250176e-07
     0.359479	-3.090039e-07
       0.3611	-3.974569e-07
     0.362791	-4.872712e-07
     0.364482	-5.763219e-07
     0.366097	-6.619072e-07
     0.367638	-7.408379e-07
     0.369109	-8.106620e-07
     0.370513	-8.694059e-07
     0.371917	-9.162822e-07
     0.373254	-9.522674e-07
     0.374592	-9.781196e-07
     0.375929	-9.950953e-07
     0.377266	-1.004638e-06
     0.378603	-1.007661e-06
     0.379941	-1.004813e-06
     0.381278	-9.961689e-07
     0.382615	-9.812956e-07
     0.383953	-9.591056e-07
     0.385187	-9.284933e-07
     0.386421	-1.370184e-07
     0.387656	1.215981e-07
     0.388778	1.742791e-07
       0.3899	6.470815e-07
     0.391022	8.499254e-07
     0.392145	3.681260e-07
     0.393267	4.191010e-07
     0.394389	9.573748e-07
     0.395511	1.180227e-06
     0.396633	6.562486e-07
     0.397756	7.142647e-07
     0.398878	1.299897e-06
          0.4	1.521970e-06
      0.40122	9.993238e-07
