# Region type : patch outflow
#   Faces  : 73
#   Area   : 1.863513e-04
#        Time	sum(rhoPhi)
   0.00357143	0.000000e+00
   0.00493697	-7.873062e-07
   0.00654637	-1.031422e-06
   0.00835694	-1.205886e-06
    0.0103399	-1.324390e-06
    0.0123229	-8.818663e-07
    0.0144161	-1.845704e-06
    0.0166401	-3.058723e-06
    0.0188641	-2.320587e-06
    0.0210881	-2.513004e-06
    0.0233121	-2.705520e-06
    0.0255361	-2.276542e-06
    0.0277601	-3.037647e-06
    0.0299841	-3.296129e-06
    0.0319857	-2.943467e-06
    0.0339873	-2.579724e-06
    0.0359888	-3.695421e-06
    0.0379904	-3.745446e-06
     0.039992	-3.851983e-06
    0.0419936	-4.594759e-06
    0.0439952	-4.057800e-06
    0.0454964	-4.081543e-06
    0.0469976	-4.627840e-06
    0.0484988	-5.091078e-06
         0.05	-4.282050e-06
    0.0516667	-4.311112e-06
    0.0534568	-4.914304e-06
    0.0552469	-4.406042e-06
     0.057037	-4.377977e-06
    0.0588272	-4.857888e-06
    0.0606173	-5.301238e-06
    0.0624074	-5.698192e-06
    0.0641975	-4.541416e-06
    0.0659877	-4.502302e-06
    0.0677778	-4.488772e-06
    0.0695679	-3.863146e-06
     0.071358	-4.446666e-06
    0.0731481	-4.456094e-06
    0.0749383	-3.976233e-06
    0.0767284	-3.530758e-06
    0.0785185	-3.137520e-06
    0.0803086	-2.783430e-06
    0.0820988	-4.356567e-06
    0.0838889	-4.187240e-06
     0.085679	-4.122346e-06
    0.0874691	-4.084384e-06
    0.0892593	-3.234292e-06
    0.0910494	-3.910412e-06
    0.0928395	-3.851501e-06
    0.0946296	-3.249968e-06
    0.0964198	-2.730105e-06
    0.0982099	-3.547921e-06
          0.1	-3.435379e-06
        0.102	-2.666348e-06
     0.104087	-3.167125e-06
     0.106273	-3.086477e-06
      0.10846	-2.362810e-06
     0.110767	-1.689253e-06
     0.113075	-2.650092e-06
     0.115383	-2.354820e-06
     0.117691	-2.156486e-06
     0.119999	-2.769369e-06
     0.122306	-1.771299e-06
     0.124614	-1.525654e-06
     0.126922	-2.069602e-06
      0.12902	-1.065947e-06
     0.131118	-8.782321e-07
     0.133216	-1.333716e-06
     0.135314	-4.583207e-07
     0.137412	-1.942209e-07
      0.13951	-7.739688e-07
     0.141608	-9.378172e-07
     0.143706	4.958847e-07
     0.145804	7.104100e-07
     0.147902	9.870477e-07
     0.148951	1.197600e-06
         0.15	1.349279e-06
      0.15125	1.466844e-06
     0.152684	1.646990e-06
     0.154315	2.583685e-06
     0.156143	3.011169e-06
     0.158136	2.187491e-06
      0.16013	2.501383e-06
     0.162123	2.670120e-06
     0.164117	2.973443e-06
      0.16611	4.127476e-06
     0.168228	3.455214e-06
     0.170347	2.873736e-06
     0.172628	3.944577e-06
     0.174733	4.128448e-06
     0.176839	3.408773e-06
     0.178944	4.605294e-06
      0.18105	5.983199e-06
     0.183155	5.080738e-06
     0.185027	5.387853e-06
     0.186691	6.280599e-06
     0.188354	5.745685e-06
     0.190018	5.851602e-06
     0.191682	5.959976e-06
     0.193345	6.285848e-06
     0.195009	6.670457e-06
     0.196673	7.098200e-06
     0.197782	7.513470e-06
     0.198891	6.805383e-06
          0.2	6.921736e-06
      0.20122	7.370147e-06
     0.202575	7.694821e-06
     0.203892	8.018585e-06
     0.205209	7.408302e-06
     0.206527	7.562769e-06
     0.207844	7.902011e-06
     0.209161	8.177388e-06
     0.210479	8.430325e-06
     0.211842	8.658241e-06
     0.213204	8.857193e-06
      0.21462	8.077511e-06
     0.216035	8.159890e-06
      0.21745	8.683944e-06
      0.21893	8.809435e-06
     0.220409	8.904671e-06
     0.221889	9.205260e-06
     0.223294	9.070828e-06
      0.22463	9.129563e-06
     0.225898	9.383949e-06
     0.227167	9.286799e-06
     0.228435	9.098176e-06
     0.229704	8.992889e-06
     0.231057	8.929240e-06
     0.232241	8.899786e-06
     0.233351	8.882919e-06
     0.234391	8.860311e-06
     0.235506	8.832303e-06
     0.236541	8.806655e-06
     0.237503	8.797433e-06
     0.238395	8.794801e-06
     0.239224	8.799075e-06
     0.240053	8.804526e-06
     0.240882	9.439582e-06
     0.241794	9.428362e-06
     0.242706	9.312583e-06
     0.243617	9.262307e-06
     0.244529	9.213309e-06
     0.245441	9.152847e-06
     0.246353	9.074300e-06
     0.247265	8.985640e-06
     0.248176	8.901449e-06
     0.249088	9.637472e-06
         0.25	9.589067e-06
     0.250962	9.369808e-06
     0.251905	9.382159e-06
     0.252848	9.465199e-06
      0.25381	9.359027e-06
     0.254772	9.397282e-06
     0.255755	9.486109e-06
     0.256739	9.416581e-06
     0.257722	9.304679e-06
     0.258728	9.498663e-06
      0.25976	9.735552e-06
     0.260792	9.682066e-06
     0.261852	9.580505e-06
     0.262942	9.749527e-06
     0.264065	9.973036e-06
     0.265224	9.892793e-06
     0.266423	9.743333e-06
     0.267622	9.918914e-06
     0.268779	1.010721e-05
     0.269894	9.865309e-06
     0.270969	9.803482e-06
     0.272044	9.802306e-06
     0.273079	9.797198e-06
     0.274156	9.778431e-06
     0.275331	9.715921e-06
     0.276629	9.612874e-06
