t,static_Pressure
0.05,-6.93141317368
0.1,-6.8113656044
0.15,-6.82043838501
0.2,-6.82597446442
0.25,-6.83085250854
0.3,-6.85795021057
0.35,-6.86910867691
0.4,-6.9860329628
0.45,-7.62877035141
0.5,-7.27387523651
0.55,-7.4355134964
0.6,-6.86747264862
0.65,-6.26519203186
0.7,-6.81878900528
0.75,-6.91082572937
0.8,-6.84811925888
0.85,-6.94415664673
0.9,-6.93287706375
0.95,-6.87204504013
1.0,-6.87321710587
1.05,-6.85563135147
1.1,-6.85888719559
1.15,-6.68545770645
1.2,-6.7985033989
1.25,-6.50319719315
1.3,-1.52506268024
1.35,56.7781066895
1.4,108.46647644
1.45,115.626960754
1.5,106.613456726
1.55,95.0655288696
1.6,77.511177063
1.65,63.9190483093
1.7,53.1888656616
1.75,40.4196968079
1.8,27.5720386505
1.85,17.8307857513
1.9,9.7392950058
1.95,2.16598916054
2.0,-3.34825611115
2.05,-6.38353824615
2.1,-7.94366407394
2.15,-8.04265880585
2.2,-9.05668544769
2.25,-10.0363893509
2.3,-11.0860652924
2.35,-11.6100769043
2.4,-12.1800861359
2.45,-11.1946659088
2.5,-10.1285791397
2.55,-9.21311855316
2.6,-7.87789440155
2.65,-8.01808738708
2.7,-7.91655158997
2.75,-7.67996931076
2.8,-7.67105770111
2.85,-7.58967447281
2.9,-7.33523416519
2.95,-7.46169519424
3.0,-7.41009998322
