t,static_Pressure
0.0,0.0
0.05,0.00257748318836
0.1,0.0574466101825
0.15,0.0628571584821
0.2,0.0442697033286
0.25,-0.0387949980795
0.3,-0.0165511202067
0.35,-0.0240492112935
0.4,-0.310320615768
0.45,-0.0762369409204
0.5,0.026874197647
0.55,0.0012133626733
0.6,-0.0154502438381
0.65,-0.0396421700716
0.7,0.0167567599565
0.75,0.312825948
0.8,0.694175899029
0.85,0.176541239023
0.9,0.0103681692854
0.95,0.0381843782961
1.0,0.0404260866344
1.05,0.00994903128594
1.1,-0.0473923571408
1.15,-0.00986454077065
1.2,0.0813577547669
1.25,0.373998403549
1.3,4.99979305267
1.35,52.2924690247
1.4,96.7715911865
1.45,103.948059082
1.5,97.4737548828
1.55,86.0640182495
1.6,69.810005188
1.65,57.5610809326
1.7,47.3148460388
1.75,36.5284576416
1.8,26.8066482544
1.85,18.7000331879
1.9,12.0143260956
1.95,6.10654973984
2.0,2.15394878387
2.05,0.00261337519623
2.1,-1.63512206078
2.15,-1.33218634129
2.2,-2.40536189079
2.25,-3.5192732811
2.3,-4.42625284195
2.35,-4.45585441589
2.4,-3.28713345528
2.45,-2.62276744843
2.5,-2.30739474297
2.55,-1.1849912405
2.6,-1.13610446453
2.65,-0.527169585228
2.7,-0.83162945509
2.75,-0.84290856123
2.8,-0.778323471546
2.85,-0.635053277016
2.9,-0.552818417549
2.95,-0.480429232121
3.0,-0.444393068552
